data_horario;user_home;user_away;team_home;team_away;resultado;Score_end_home;Score_end_away;target_class;team_playing_home;team_playing_away
2021-03-05 09:46:00;OLLE;MR_ELIDARIUS;BRAZIL (OLLE) ESPORTS;FRANCE (MR_ELIDARIUS) ESPORTS;3-0;3;0;1;BRAZIL;FRANCE
2021-03-05 09:52:00;RUS_1995_LAN;DANGERDIM77;BAYERN (RUS_1995_LAN) ESPORTS;REAL MADRID (DANGERDIM77) ESPORTS;1-1;1;1;0;BAYERN;REAL MADRID
2021-03-05 09:52:00;ORLOVSKY1;NIKKITTA;PSG (ORLOVSKY1) ESPORTS;LIVERPOOL (NIKKITTA) ESPORTS;2-1;2;1;1;PSG;LIVERPOOL
2021-03-05 09:52:00;RUS_1995_LAN;DANGERDIM77;BAYERN (RUS_1995_LAN) ESPORTS;REAL MADRID (DANGERDIM77) ESPORTS;1-1;1;1;0;BAYERN;REAL MADRID
2021-03-05 09:58:00;MR_ELIDARIUS;UPCAKE22;FRANCE (MR_ELIDARIUS) ESPORTS;GERMANY (UPCAKE22) ESPORTS;0-3;0;3;2;FRANCE;GERMANY
2021-03-05 09:58:00;WHITE_BOY1927;TAKA;BELGIUM (WHITE_BOY1927) ESPORTS;PORTUGAL (TAKA) ESPORTS;3-3;3;3;0;BELGIUM;PORTUGAL
2021-03-05 10:04:00;NIKKITTA;RUS_1995_LAN;LIVERPOOL (NIKKITTA) ESPORTS;BAYERN (RUS_1995_LAN) ESPORTS;0-0;0;0;0;LIVERPOOL;BAYERN
2021-03-05 10:04:00;NIKKITTA;RUS_1995_LAN;LIVERPOOL (NIKKITTA) ESPORTS;BAYERN (RUS_1995_LAN) ESPORTS;0-0;0;0;0;LIVERPOOL;BAYERN
2021-03-05 10:04:00;SLEZAINTIMA;ORLOVSKY1;BARCELONA (SLEZAINTIMA) ESPORTS;PSG (ORLOVSKY1) ESPORTS;2-3;2;3;2;BARCELONA;PSG
2021-03-05 10:10:00;MR_ELIDARIUS;TAKA;FRANCE (MR_ELIDARIUS) ESPORTS;PORTUGAL (TAKA) ESPORTS;2-1;2;1;1;FRANCE;PORTUGAL
2021-03-05 10:10:00;OLLE;UPCAKE22;BRAZIL (OLLE) ESPORTS;GERMANY (UPCAKE22) ESPORTS;0-0;0;0;0;BRAZIL;GERMANY
2021-03-05 10:16:00;RUS_1995_LAN;SLEZAINTIMA;BAYERN (RUS_1995_LAN) ESPORTS;BARCELONA (SLEZAINTIMA) ESPORTS;1-3;1;3;2;BAYERN;BARCELONA
2021-03-05 10:16:00;DANGERDIM77;NIKKITTA;REAL MADRID (DANGERDIM77) ESPORTS;LIVERPOOL (NIKKITTA) ESPORTS;0-2;0;2;2;REAL MADRID;LIVERPOOL
2021-03-05 10:16:00;RUS_1995_LAN;SLEZAINTIMA;BAYERN (RUS_1995_LAN) ESPORTS;BARCELONA (SLEZAINTIMA) ESPORTS;1-3;1;3;2;BAYERN;BARCELONA
2021-03-05 10:22:00;TAKA;OLLE;PORTUGAL (TAKA) ESPORTS;BRAZIL (OLLE) ESPORTS;2-4;2;4;2;PORTUGAL;BRAZIL
2021-03-05 10:22:00;WHITE_BOY1927;MR_ELIDARIUS;BELGIUM (WHITE_BOY1927) ESPORTS;FRANCE (MR_ELIDARIUS) ESPORTS;2-0;2;0;1;BELGIUM;FRANCE
2021-03-05 10:28:00;SLEZAINTIMA;DANGERDIM77;BARCELONA (SLEZAINTIMA) ESPORTS;REAL MADRID (DANGERDIM77) ESPORTS;2-1;2;1;1;BARCELONA;REAL MADRID
